dagiː	dagiːf	ADJ;PSS1S
adili	adililwə	N;ACC;DEF;PL
bagdama	bagdamaalb	ADJ;ACC;DEF;PL
hawal	hawalďəŋnəm	V;HAB+IPFV;FIN;IND;SG;1;PRS;ACT
ŋəli	ŋəli	ADJ
kalan	kalanduː	N;DAT;SG
ulgut͡ʃoːn	ulgut͡ʃoːnďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
nəkun	nəkunwi	N;NOM;SG;PSSRS
in	inďit͡ʃoːtin	V;IPFV;FIN;IND;PL;3;PST;ACT
papal	papal	N;NOM;SG
kahi	kahirgaə	V;FIN;IND;PST;ANTIP
tuksaː	tuksaːďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
adiːkuː	adiːkuːl	ADJ;PL
ŋənə	ŋənəďit͡ʃoːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
bi	bit͡ʃoːtin	V;FIN;IND;PSS3P;PST;ACT
taptigin	taptigin	N;NOM;SG
tuliː	tuliːliː	N;PROL;SG
bimɲin	bimɲin	N;NOM;SG
swarśik	swarśikduː	N;DAT;SG
ŋinakin	ŋinakinw	N;NOM;SG;PSS1S
baďaːlə	baďaːlə	ADJ
dukto	duktonun	N;COM;SG
ga	garən	V;FIN;IND;SG;3;PST;ACT
jənt͡ʃəmbu	jənt͡ʃəmbuliː	N;PROL;SG
uru	urujə	N;ACC;INDF;SG
huju	hujuďəŋoːn	V;FIN;IND;SG;3;FUT;ACT
armije	armijelaː	N;TERM;SG
arnold	arnold	N;NOM;SG
birigadir	birigadir	N;NOM;SG
ti	ti	N;NOM;SG
toγo	toγowi	N;NOM;SG;PSSRS
bulta	bultaŋkiːwun	V;FIN;IND;PL;1+EXCL;PST+RMT;ACT
əniːn	əniːndukpi	N;ABL;SG;PSSRS
bəjŋoː	bəjŋoːlďi	N;INS;PL
ila	ilarə	V;FIN;IND;PL;3;PST;ACT
moːtiː	moːtiːlə	N;ACC;INDF;PL
əməgənə	əməgənən	N;NOM;SG;PSS3S
tikt͡ʃaki	tikt͡ʃakiwə	N;ACC;DEF;SG
baldi	baldiďit͡ʃoːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
ilmakta	ilmaktawə	N;ACC;DEF;SG
hərəki	hərəkim	V;FIN;IND;SG;1;PST;ACT
əmə	əməŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
ŋoːlə		V;DUR;FIN;IND;PL;3;PST;CAUS;ACT
kuŋaka	kuŋakalwi	N;NOM;PL;PSS1S
ďuwu	ďuwurəw	V;FIN;IND;PL;1+EXCL;PST;ACT
uliː	uliːďəŋoːn	V;FIN;IND;SG;3;FUT;ACT
uku		V;IPFV;FIN;IMP;SG;3;CAUS;ACT
kaŋki	kaŋkitin	ADJ;PSS3P
tətigə	tətigəjə	N;ACC;INDF;SG
hoːŋə	hoːŋətin	N;NOM;SG;PSS3P
ŋaːlə	ŋaːləlďiwi	N;INS;PL;PSSRS
aja		ADJ;ABL;SG
hulu	hulul	ADJ;PL
oldo		N;ALL;PL;PSSRP
ʃoːmnaː	ʃoːmnaːhinəm	V;SEMEL;FIN;IND;SG;1;PST;ACT
lu	lujə	N;ACC;INDF;SG
it͡ʃə		V;FIN;IND;SG;3;PST+RMT;CAUS;ACT
təpkə	təpkərən	V;FIN;IND;SG;3;PST;ACT
trafim	trafim	N;NOM;SG
teːteː	teːteːlaː	N;TERM;SG
buru	buruŋnəm	V;HAB;FIN;IND;SG;1;PST;ACT
ulgur	ulgurji	N;SG;PSSRS+ACC
tuksaːn	tuksaːnkəl	V;FIN;IMP;SG;2;ACT
aďili	aďililə	N;ACC;INDF;PL
ti	tirəw	V;FIN;IND;PL;1+EXCL;PST;ACT
kartiʃka		V;SEMEL;FIN;IND;PL;3;PST+RMT;ACT
ulgut͡ʃoːn	ulgut͡ʃoːnďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
pəktirəːwun	pəktirəːwunwər	N;NOM;SG;PSSRP
in	inďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
ekologit͡ʃeskaji	ekologit͡ʃeskajil	ADJ;PL
ŋənə	ŋənəďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
hərə	hərəduː	N;DAT;SG
bargidaː	bargidaːwan	N;ACC;DEF;SG;PSS3S
in	induːji	N;DAT;SG;PSSRS
tas	tashinəw	V;SEMEL;FIN;IND;PL;1+EXCL;PST;ACT
t͡ʃanku	t͡ʃankulduː	N;DAT;PL
əŋəhiː	əŋəhiːn	V;FIN;IND;SG;3;ACT
ďiktə	ďiktəlwə	N;ACC;DEF;PL
hokto	hoktoliːtin	N;PROL;SG;PSS3P
ʃuru	ʃururən	V;FIN;IND;SG;3;PST;ACT
o	ot͡ʃəw	V;FIN;IND;SG;1;PRS;ACT
benzin	benzinlwə	N;ACC;DEF;PL
waśilij	waśilij	N;NOM;SG
mukətə	mukətəliːn	N;PROL;SG;PSS3S
di	diŋkiːwun	V;FIN;IND;PL;1+EXCL;PST+RMT;ACT
musaːn	musaːnrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
obligatsə	obligatsəwə	N;ACC;DEF;SG
it͡ʃənoː	it͡ʃənoːkəl	V;FIN;IMP;SG;2;ACT
umukta	umuktawə	N;ACC;DEF;SG
oldo	oldol	N;NOM;PL
lambaraː	lambaraːrə	V;FIN;IND;PL;3;PST;ACT
adili	adililwə	N;ACC;DEF;PL
bu	burən	V;FIN;IND;SG;3;PST;ACT
nəptalə	nəptalə	ADJ
tara	tarawə	N;ACC;DEF;SG
ďa	ďarwi	N;NOM;PL;PSSRS
uːt͡ʃak	uːt͡ʃakji	N;SG;PSSRS+ACC
it͡ʃə	it͡ʃəttaw	V;DUR;FIN;IND;SG;1;PST;ACT
ut͡ʃaːmi	ut͡ʃaːmilaː	N;TERM;SG
hawalmɲiː	hawalmɲiːtin	N;NOM;SG;PSS3P
ŋəliwśipt͡ʃu	ŋəliwśipt͡ʃu	ADJ
təwu	təwulə	N;ACC;INDF;PL
gunə	gunəm	V;FIN;IND;SG;1;PST;ACT
pamiɲať	pamiɲať	N;NOM;SG
ŋoːlə	ŋoːləm	V;FIN;IND;SG;1;PST;ACT
uldə	uldəjə	N;ACC;INDF;SG
ogdiŋo	ogdiŋo	ADJ
hanŋukta	hanŋuktarən	V;FIN;IND;SG;3;PST;ACT
ətəjə	ətəjəďə	V;IPFV;FIN;IND;ACT
hawal	hawalďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
t͡ʃuɲa	t͡ʃuɲatkiː	N;ALL;SG
tuŋə	tuŋəwə	N;ACC;DEF;SG
huru	huruďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
tunŋaďat͡ʃi	tunŋaďat͡ʃiduː	ADJ;DAT
uːt͡ʃak	uːt͡ʃak	N;NOM;SG
bi	biďəŋkiːw	V;IPFV;FIN;IND;SG;1;PST+RMT;ACT
hawa	hawalaːji	N;TERM;SG;PSSRS
ɲəŋɲə	ɲəŋɲə	ADJ
oː	oːrən	V;FIN;IND;SG;3;PST;ACT
śevərgidaː	śevərgidaːtkiː	N;ALL;SG
heːn	heːnwan	N;ACC;DEF;SG;PSS3S
teːteː	teːteːtkiː	N;ALL;SG
ɲama	ɲamawə	N;ACC;DEF;SG
duli	duli	N;NOM;SG
dili	dilin	N;NOM;SG;PSS3S
butilka	butilkaduː	N;DAT;SG
əməgən	əməgən	N;NOM;SG
jəgor	jəgor	N;NOM;SG
samoloti	samolotit	N;INS;SG
nəːku	nəːku	N;NOM;SG
omolgiː	omolgiː	N;NOM;SG
awadiwal	awadiwal	ADJ
hulda	huldalə	N;ACC;INDF;PL
həgdi	həgdi	ADJ
buru	buruďəm	V;FIN;IND;SG;1;FUT+IMMED;ACT
mari	maril	N;NOM;PL
bi	birən	V;FIN;IND;SG;3;PST;ACT
haŋiː	haŋiːttən	V;DUR;FIN;IND;SG;3;PST;ACT
oː	oː	N;NOM;SG
ďupkun	ďupkuntkiː	N;ALL;SG
o	om	V;FIN;IND;SG;1;PST;ACT
həgdi	həgdiwətin	N;ACC;DEF;SG;PSS3P
grus	grus	N;NOM;SG
ďəw	ďəwďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
guluwun	guluwun	N;NOM;SG
kərgə	kərgəl	N;NOM;PL
bəjŋoː	bəjŋoːlwə	N;ACC;DEF;PL
uːt͡ʃak	uːt͡ʃakduː	N;DAT;SG
darimaː	darimaːhinən	V;SEMEL;FIN;IND;SG;3;PST;ACT
prokop	prokop	N;NOM;SG
moːkaːn	moːkaːnwə	N;ACC;DEF;SG
pəktəruː	pəktəruːrən	V;FIN;IND;SG;3;PST;ACT
moː	moːduː	N;DAT;SG
haŋaːri	haŋaːril	N;NOM;PL
urkə	urkəlaː	N;TERM;SG
itiki	itikilwi	N;PL;PSSRS+ACC
goro	gorogit	N;IN+ABL;SG
ďaw	ďawduː	N;DAT;SG
lapta	laptawə	N;ACC;DEF;SG
ətirkoːt͡ʃə	ətirkoːt͡ʃəl	N;NOM;PL
əďiːloː	əďiːloː	N;NOM;SG
ŋənə	ŋənəďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
luďi	luďi	N;NOM;SG
oro	oroltikiː	N;ALL;PL
umukta	umuktawə	N;ACC;DEF;SG
ďirikat͡ʃaːn	ďirikat͡ʃaːn	N;NOM;SG
ŋənə	ŋənəďəŋnərəwun	V;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
hutə	hutəlwun	N;NOM;PL;PSS1PE
akini	akiniw	N;NOM;SG;PSS1S
oro	orolduːwi	N;DAT;PL;PSSRS
aminŋaha	aminŋaha	N;NOM;SG
t͡ʃajiŋ	t͡ʃajiŋrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
śiɲťabr	śiɲťabrduː	N;DAT;SG
vərhnəimbaskə	vərhnəimbaskəduː	N;DAT;SG
talu	talulduk	N;ABL;PL
halga	halgalwə	N;ACC;DEF;PL
amaskaː	amaskaːlaːji	N;TERM;SG;PSSRS
də	də	N;NOM;SG
in	inďit͡ʃoːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
ŋinakisi	ŋinakisil	ADJ;PL
ŋolomo	ŋolomo	N;NOM;SG
homoːti		N;ABL;POT;SG
t͡ʃiskowoj	t͡ʃiskowoj	N;NOM;SG
ďawi	ďawitin	N;NOM;SG;PSS3P
ďu	ďujaji	N;ACC;INDF;SG;PSSRS
kərgəni	kərgənin	N;NOM;SG;PSS3S
hulukun	hulukunduːw	N;DAT;SG;PSS1S
ďoromo	ďoromom	V;FIN;IND;SG;1;PST;ACT
hulda	huldalwatin	N;ACC;DEF;PL;PSS3P
dukuwu	dukuwulwə	N;ACC;DEF;PL
imuːkśə	imuːkśəwə	N;ACC;DEF;SG
həktəwu	həktəwulduː	N;DAT;PL
həgdiko	həgdikol	ADJ;PL
waː	waːďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
noː	noːŋkiːn	V;FIN;IND;SG;3;PST+RMT;ACT
huru	hurukəl	V;FIN;IMP;SG;2;ACT
atirkaːn	atirkaːnji	N;SG;PSSRS+ACC
jivo	jivo	ADJ
izbuʃka	izbuʃkalaːji	N;TERM;SG;PSSRS
bira	biralaː	N;TERM;SG
əɲiːn	əɲiːnw	N;NOM;SG;PSS1S
hawal	hawalďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
ulumo	ulumoŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
həlakiː	həlakiːlə	N;ACC;INDF;PL
akini	akiniw	N;NOM;SG;PSS1S
hoγorkiː	hoγorkiː	N;NOM;SG
o	oďərəw	V;IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
soː	soː	ADJ
meːwan	meːwandukin	N;ABL;SG;PSS3S
bi	biwə	N;ACC;DEF;SG
ďu	ďulaː	N;TERM;SG
amar	amarduːn	N;DAT;SG;PSS3S
iďoʃ	iďoʃ	N;NOM;SG
tozəfka	tozəfkaji	N;SG;PSSRS+ACC
ďuktə	ďuktəwə	N;ACC;DEF;SG
ďirika	ďirikalduk	N;ABL;PL
taw	tawďəďən	V;IPFV;FIN;IND;SG;3;ACT
hukuləːmɲi	hukuləːmɲil	N;NOM;PL
adilisi	adilisiŋnəm	V;HAB;FIN;IND;SG;1;PST;ACT
ut͡ʃami	ut͡ʃami	N;NOM;SG
ŋəːlə	ŋəːlərən	V;FIN;IND;SG;3;PST;ACT
koŋimnə	koŋimnəwətin	N;ACC;DEF;SG;PSS3P
biraja	birajalduliː	N;PROL;PL
t͡ʃenokoːn	t͡ʃenokoːnwan	N;ACC;DEF;SG;PSS3S
ili	ilitt͡ʃoːwun	V;DUR;FIN;IND;PL;1+EXCL;PST;ACT
ʃargaśin	ʃargaśin	ADJ;EQTV
dulini	dulinin	N;NOM;SG;PSS3S
dəgilməːktə	dəgilməːktəduː	N;DAT;SG
buː	buːrə	V;FIN;IND;PL;3;PST;ACT
gorod	gorod	N;NOM;SG
dəptiləː	dəptiləːlwə	N;ACC;DEF;PL
ďuː	ďuːlaːtin	N;TERM;SG;PSS3P
o	orən	V;FIN;IND;SG;3;PST;ACT
uj	ujrən	V;FIN;IND;SG;3;PST;ACT
ŋəːləkəhiː	ŋəːləkəhiːw	N;NOM;SG;PSS1S
uːt͡ʃaki	uːt͡ʃakilduːwər	N;DAT;PL;PSSRP
moːtiː	moːtiːwə	N;ACC;DEF;SG
t͡ʃoknaː	t͡ʃoknaːwoːt	V;FIN;IMP;PL;1+INCL;ACT
dərə	dərəlaːtin	N;TERM;SG;PSS3P
ďə	ďəďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
urkə	urkə	N;NOM;SG
bəjŋoː	bəjŋoːwə	N;ACC;DEF;SG
braʃka	braʃkawə	N;ACC;DEF;SG
kaɲeʃna	kaɲeʃna	N;NOM;SG
ŋəli	ŋəlifkoːnďəŋoːw	V;FIN;IND;SG;1;FUT;CAUS;ACT
hoːŋə	hoːŋətin	N;NOM;SG;PSS3P
amakaː	amakaː	N;NOM;SG
gu	gurə	V;FIN;IND;PL;3;PST;ACT
mu	mu	N;NOM;SG
əmə	əməhinə	V;SEMEL;FIN;IND;PL;3;PST;ACT
aliksandr	aliksandr	N;NOM;SG
in	inďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
warwara	warwara	N;NOM;SG
hawal	hawalďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
tuk	tukďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
baka	bakarəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ŋəlifśə	ŋəlifśə	ADJ
geː	geːlaː	N;TERM;SG
śinťabr	śinťabrduː	N;DAT;SG
tan		V;STAT;FIN;IMP;SG;2;ACT
təγə	təγət͡ʃəlim	V;DUR+STAT;FIN;IND;SG;1;PST;ACT
amiːni	amiːnin	N;NOM;SG;PSS3S
əwədi	əwədi	ADJ
it͡ʃə		V;IPFV;FIN;IND;SG;1;PRS;CAUS;ACT
t͡ʃikti	t͡ʃikti	N;NOM;SG
klasi	klasil	N;NOM;PL
ilalda	ilaldawə	N;ACC;DEF;SG
ahi	ahi	N;NOM;SG
noːku	noːkuduː	N;DAT;SG
moː	moːlə	N;ACC;INDF;PL
bəjə	bəjəjə	N;ACC;INDF;SG
hihə	hihəwə	N;ACC;DEF;SG
bi	biďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
hiŋkəriː	hiŋkəriːďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
hulaki	hulakil	N;NOM;PL
dap	dapďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
əmə	əməw	V;FIN;IND;PL;1+EXCL;PST;CAUS;ACT
ďəfkit		N;ALL;SG;PSS1PE
hutə		N;COM;PL;PSS2S
timatnə	timatnəlaː	N;TERM;SG
kuklaka	kuklakalďi	N;INS;PL
o	orə	V;FIN;IND;PL;3;PST;ACT
rimontəkaːn	rimontəkaːnwə	N;ACC;DEF;SG
ulumiː	ulumiːďit͡ʃoːtin	V;IPFV;FIN;IND;PL;3;PST;ACT
hirbaː	hirbaːwə	N;ACC;DEF;SG
amtiːl	amtiːllaːji	N;TERM;SG;PSSRS
aŋani	aŋaniduː	N;DAT;SG
turu	turuduː	N;DAT;SG
hiː	hiːwan	N;ACC;DEF;SG;PSS3S
oː	oːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
soloγuː	soloγuː	N;NOM;SG
amki	amkil	N;NOM;PL
huliŋ	huliŋ	ADJ
hagdi	hagdil	ADJ;PL
ŋənə	ŋənərən	V;FIN;IND;SG;3;PST;ACT
ɲaŋta	ɲaŋtalə	N;ACC;INDF;PL
dawa	dawaŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
uldə	uldəŋil	N;NOM;PL;ALN
aj	ajrən	V;FIN;IND;SG;3;PST;ACT
pramhos	pramhosduː	N;DAT;SG
ŋənə		V;DUR;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
halga	halgaltin	N;NOM;PL;PSS3P
bi	biďəkəldu	V;IPFV;FIN;IMP;PL;2;ACT
t͡ʃapumə	t͡ʃapuməl	ADJ;PL
ďiwə	ďiwəhinən	V;SEMEL;FIN;IND;SG;3;PST;ACT
əmkə	əmkəə	N;ACC;DEF;SG;PSS1S
turu	turulaː	N;TERM;SG
ila	ilaliː	N;PROL;SG
himuːrga	himuːrgarən	V;FIN;IND;SG;3;PST;ACT
həhəni	həhəniŋkiːn	V;FIN;IND;SG;3;PST+RMT;ACT
aŋaɲiː	aŋaɲiːs	N;NOM;SG;PSS2S
toγo	toγojə	N;ACC;INDF;SG
haːrgi	haːrgi	N;NOM;SG
tuksa	tuksahinəm	V;SEMEL;FIN;IND;SG;1;PST;ACT
kilometr	kilometr	N;NOM;SG
koto	kotojə	N;ACC;INDF;SG
irgi	irgin	N;NOM;SG;PSS3S
nurgoːwul	nurgoːwulwə	N;ACC;DEF;SG
hawali	hawalitt͡ʃərən	V;DUR;IPFV;FIN;IND;SG;3;PRS;ACT
burdukariki	burdukarikil	ADJ;PL
əmə	əməhinəm	V;SEMEL;FIN;IND;SG;1;PST;ACT
dəruːmkisa	dəruːmkisaďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
ili	ilim	V;FIN;IND;SG;1;PST;ACT
nul	nulrən	V;FIN;IND;SG;3;PST;ACT
atirkaːn	atirkaːnnun	N;COM;SG
tukalan	tukalanwə	N;ACC;DEF;SG
saːtirə	saːtirə	N;NOM;SG
əmə	əmən	V;FIN;IND;SG;3;ACT
nikolajiʃ	nikolajiʃ	N;NOM;SG
lukiː	lukiːlwan	N;ACC;DEF;PL;PSS3S
amargu		ADJ;INS
kor	korduk	N;ABL;SG
umukoːn	umukoːnwan	N;ACC;DEF;SG;PSS3S
bultakit	bultakittkiːji	N;ALL;SG;PSSRS
ďukə	ďukə	ADJ
valenťinovit͡ʃ	valenťinovit͡ʃ	N;NOM;SG
geːw	geːwrən	V;FIN;IND;SG;3;PST;ACT
gaksaː	gaksaːŋitin	N;NOM;SG;ALN+PSS3P
oron	oronŋitin	N;NOM;SG;ALN+PSS3P
girani	giranim	V;FIN;IND;SG;1;PST;ACT
dimeɲťjəf	dimeɲťjəf	N;NOM;SG
trenin	treninduː	N;DAT;SG
kutu	kutujə	N;ACC;INDF;SG
əməːn	əməːnwran	V;FIN;IND;SG;3;PST;PASS
lurgi	lurgirən	V;FIN;IND;SG;3;PST;ACT
heːlakiː	heːlakiːnun	N;COM;SG
wiťakaːn	wiťakaːnwə	N;ACC;DEF;SG
nado	nado	V;FIN;IND;ACT
pəťorkə	pəťorkəlwə	N;ACC;DEF;PL
koːŋaːktə	koːŋaːktəwan	N;ACC;DEF;SG;PSS3S
ami	amiw	N;NOM;SG;PSS1S
tunŋaďar	tunŋaďarduː	N;DAT;SG
amini	aminiw	N;NOM;SG;PSS1S
staːdə	staːdəwətin	N;ACC;DEF;SG;PSS3P
noː	noːśiŋkiːn	V;DUR;FIN;IND;SG;3;PST+RMT;ACT
irəksə	irəksəwan	N;ACC;DEF;SG;PSS3S
bira	bira	N;NOM;SG
bi	biŋkiːn	V;FIN;IND;SG;3;PST+RMT;ACT
anŋaniː	anŋaniːs	N;NOM;SG;PSS2S
gəwariť	gəwariť	N;NOM;SG
huto	hutodulaːji	N;TERM;PL;PSSRS
mere	meretpi	N;INS;SG;PSSRS
ohotit	ohotitďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
goro	gorogit	N;IN+ABL;SG
suglan	suglan	N;NOM;SG
ďu	ďuduːn	N;DAT;SG;PSS3S
urə	urəwə	N;ACC;DEF;SG
halgan	halgannuin	N;COM;SG;PSS3S
wirtoloti	wirtolotit	N;INS;SG
təwuː	təwuːďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
uγa	uγaďəŋnərəwun	V;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
ŋənə	ŋənəďəŋnəm	V;HAB+IPFV;FIN;IND;SG;1;PRS;ACT
kira	kiraduː	N;DAT;SG
bi	birəw	V;FIN;IND;PL;1+EXCL;PST;ACT
daurskij	daurskij	N;NOM;SG
adil	adil	N;NOM;SG
himiktə	himiktəlwə	N;ACC;DEF;PL
kətə	kətəwə	N;ACC;DEF;SG
ɲiruśan	ɲiruśan	N;NOM;SG
jukələ	jukələwə	N;ACC;DEF;SG
irgit͡ʃiː	irgit͡ʃiːl	N;NOM;PL
ak	akkəldu	V;FIN;IMP;PL;2;ACT
hawal	hawalďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
pa	pa	N;NOM;SG
bi	birən	V;FIN;IND;SG;3;PST;ACT
tuγəniː	tuγəniːduː	N;DAT;SG
inmək	inməkwətin	N;ACC;DEF;SG;PSS3P
amari		N;TERM;SG;ALN+PSSRP
ulguśoːn	ulguśoːnrən	V;FIN;IND;SG;3;PST;ACT
hurkoːkoːśoːn	hurkoːkoːśoːn	N;NOM;SG
n	n	N;NOM;SG
tan	tanďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
hunaːďi	hunaːďiw	N;NOM;SG;PSS1S
suru	suruďəp	V;FIN;IND;PL;1+INCL;FUT+IMMED;ACT
ga	gaŋkiːn	V;FIN;IND;SG;3;PST+RMT;ACT
ahatka	ahatkarnun	N;COM;PL
alba	albaďərəw	V;IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
bagdakə	bagdakəlduː	N;DAT;PL
moːtiː	moːtiːwə	N;ACC;DEF;SG
tamnaː		V;DUR+SEMEL;HAB;FIN;IND;PL;1+EXCL;PST;ACT
ullə	ulləduː	N;DAT;SG
ganna	gannarəw	V;FIN;IND;PL;1+EXCL;PST;ACT
wirtolot	wirtolotlaː	N;TERM;SG
ʃapka	ʃapkaŋnərə	V;HAB;FIN;IND;PL;3;PST;ACT
ďən	ďənŋiďtn	N;IN+ABL;SG;PSS3P
uγiː	uγiːt	N;INS;SG
buː	buːŋnəm	V;HAB;FIN;IND;SG;1;PST;ACT
ďaw	ďawduːwun	N;DAT;SG;PSS1PE
oːha	oːhalwə	N;ACC;DEF;PL
tuganiː	tuganiːduː	N;DAT;SG
jakutska	jakutskaduː	N;DAT;SG
ili	iliśilŋnərw	V;DUR;HAB;FIN;IND;PL;1+EXCL;PST;ACT
